repository,pr_number,author,title,created_at,merged_at,base_branch,lines_added,lines_deleted,total_lines_changed,files_changed
FSP-V4,7722,joshvahl-fsp,"FE-662.1/hotfix",2025-05-22T18:35:47Z,2025-05-22T18:42:38Z,FE-662.1-hotfix,3,4,7,2
FSP-V4,7721,joshvahl-fsp,"Fe 653/merge conflict resolution",2025-05-22T16:04:03Z,2025-05-22T16:19:09Z,FE-653-RC-3,3339,366,3705,55
FSP-V4,7715,joshvahl-fsp,"unit test fixes",2025-05-21T22:18:38Z,2025-05-22T12:40:00Z,FE-653-RC-3,30,23,53,6
FSP-V4,7702,tylermeininger-fsp,"FSP-11282 Drag & drop reservation bugfixes",2025-05-20T22:07:11Z,2025-05-21T18:45:44Z,FE-663-RC,52,16,68,4
FSP-V4,7701,timsquires,"Combine FE-660 and FE-661",2025-05-20T21:12:59Z,2025-05-20T21:22:18Z,FE-661-RC-2,2199,412,2611,56
FSP-V4,7700,joshvahl-fsp,"FSP-11583 fixes issue where afterClosed was not working",2025-05-20T21:10:55Z,2025-05-20T21:17:18Z,FE-662-RC-1,43,14,57,1
FSP-V4,7695,joshvahl-fsp,"FE-662 defect fixes",2025-05-19T20:41:42Z,2025-05-19T21:30:31Z,FE-662-RC-1,12,4,16,2
FSP-V4,7688,timsquires,"Combine FE-657 and FE-659",2025-05-19T15:39:53Z,2025-05-19T15:51:10Z,FE-657-659-RC-1,28,1,29,2
FSP-V4,7687,timsquires,"FSP-11478 enable checkride toggle",2025-05-19T14:02:44Z,2025-05-20T21:34:29Z,FE-661-RC-2,211,165,376,8
FSP-V4,7686,tylermeininger-fsp,"FSP-11554 Fix permission checks needed for logging/editing exams",2025-05-16T21:13:40Z,2025-05-19T13:25:31Z,FE-660-RC-4,12,5,17,1
FSP-V4,7685,timsquires,"FSP-11506 AviatorPro bug fixes",2025-05-16T17:24:45Z,2025-05-19T15:43:38Z,FE-661-RC,246,146,392,8
FSP-V4,7684,tylermeininger-fsp,"FSP-11548 Student permission fix for view exam",2025-05-16T16:35:04Z,2025-05-16T17:20:02Z,FE-660-RC-4,16,4,20,3
FSP-V4,7683,adam-blumberg,"Updated Cypress Tests for FSP-10890",2025-05-15T21:50:23Z,2025-05-20T18:14:45Z,FE-660-RC-4,18,26,44,2
FSP-V4,7682,joshvahl-fsp,"Payment links",2025-05-15T15:49:34Z,2025-05-16T18:50:25Z,FE-662-RC-1,3302,367,3669,55
FSP-V4,7671,amatasek,"Update verbiage for aviator pro",2025-05-13T15:30:23Z,2025-05-13T16:52:36Z,FE-657-RC-1,16,6,22,1
FSP-V4,7670,timsquires,"FSP-11489 move chartjs files from index to angularjs libs bundle",2025-05-13T15:29:12Z,2025-05-14T14:51:22Z,FE-660-RC,22,3,25,4
FSP-V4,7669,joshvahl-fsp,"FSP-10646 updates all applicable quickbooks references",2025-05-13T14:57:06Z,2025-05-21T21:19:06Z,FE-653-RC-3,6093,3901,9994,295
FSP-V4,7668,joshvahl-fsp,"FSP-10609 adds netsuite integration page and updates qbo integration page",2025-05-13T14:55:37Z,2025-05-21T19:20:41Z,FE-653-RC-3,552,253,805,51
FSP-V4,7667,joshvahl-fsp,"FSP-10607 adds netsuite integrations option to integrations page",2025-05-13T14:54:23Z,2025-05-21T19:04:20Z,FE-653-RC-3,47,18,65,9
FSP-V4,7662,bartgriffith,"strip query param after modal opens",2025-05-09T19:09:34Z,2025-05-09T19:30:42Z,FE-659-RC-2,7,0,7,1
FSP-V4,7661,tylermeininger-fsp,"FSP-10890 View exam modal",2025-05-09T18:31:16Z,2025-05-12T15:15:53Z,FE-660-RC,2136,379,2515,50
FSP-V4,7660,bartgriffith,"FSP-11483: deep link to invoice (iOS app support)",2025-05-09T18:16:54Z,2025-05-09T18:30:12Z,FE-659-RC-2,21,1,22,2
FSP-V4,7643,joshvahl-fsp,"FSP-11460 fixes logic that refreshes info for sports courses",2025-05-06T15:08:02Z,2025-05-06T15:13:17Z,FE-655-RC-2,6,2,8,1
FSP-V4,7631,timsquires,"FSP-11402 link discovery flight",2025-05-05T20:12:15Z,2025-05-07T13:48:51Z,FE-658-RC-3,419,72,491,14
FSP-V4,7624,joshvahl-fsp,"FSP-11450 fixes issue with null reference",2025-05-05T15:44:15Z,2025-05-05T15:55:58Z,FE-655-RC-2,1,1,2,1
FSP-V4,7615,tylermeininger-fsp,"FSP-11445 Send false if no value is available for manualTailAssignment",2025-05-02T20:45:53Z,2025-05-02T20:46:50Z,654.1-hotfix,4,2,6,1
FSP-V4,7614,NickHotalling-FSP,"FSP-11406 Discovery Flight - Display Payrix error messages",2025-05-02T20:18:01Z,2025-05-06T19:59:30Z,FE-658-RC-3,79,29,108,4
FSP-V4,7613,joshvahl-fsp,"FSP-11438, FSP-11441, FSP-11442 fixes issue with order of items in vm$",2025-05-02T19:32:28Z,2025-05-02T19:36:25Z,FE-655-RC-2,1,3,4,1
FSP-V4,7612,joshvahl-fsp,"FSP-11437 fix issue with modal creating two items if save clicked twice",2025-05-02T17:01:57Z,2025-05-02T17:23:03Z,FE-655-RC-2,17,10,27,4
FSP-V4,7607,NickHotalling-FSP,"FSP-11425 Discovery Flight surcharge fixes",2025-05-02T16:37:39Z,2025-05-06T19:58:29Z,FE-658-RC-3,94,88,182,5
FSP-V4,7600,adam-blumberg,"Update settings_TrainingHub-tests.spec.js",2025-05-01T20:39:53Z,2025-05-01T20:43:14Z,FE-656-RC-3,35,64,99,1
FSP-V4,7599,joshvahl-fsp,"FE-655 defect fixes",2025-05-01T20:24:09Z,2025-05-02T14:18:48Z,FE-655-RC-2,81,40,121,9
FSP-V4,7597,timsquires,"FSP-11314 remove downed aircraft from list sent to solver",2025-05-01T14:47:32Z,2025-05-01T14:52:47Z,FE-657-RC,32,2,34,2
FSP-V4,7596,joshvahl-fsp,"FSP-11408 fixes infinite spinner logic issue",2025-05-01T14:32:56Z,2025-05-01T14:35:10Z,FE-655-RC-2,3,0,3,1
FSP-V4,7584,amatasek,"useFactory to fix race condition",2025-04-30T21:45:29Z,2025-04-30T21:46:51Z,FE-652.1-hotfix,1,1,2,1
FSP-V4,7583,NickHotalling-FSP,"FSP-11400 Discovery Flight Preferences - merchant account message, disable auto save ",2025-04-30T20:53:44Z,2025-04-30T21:51:09Z,FE-652.1-hotfix,58,20,78,2
FSP-V4,7582,amatasek,"Remove dead code and add console error",2025-04-30T20:06:38Z,2025-04-30T20:09:10Z,FE-652.1-hotfix,1,16,17,2
FSP-V4,7581,tylermeininger-fsp,"FSP-8849 Improve availability check for group slots",2025-04-30T16:40:54Z,2025-05-01T14:51:56Z,FE-657-RC,5,1,6,3
FSP-V4,7569,timsquires,"FSP-11391 add support for new syllabus provider, The Finer Points",2025-04-28T21:17:41Z,2025-04-30T15:48:11Z,FE-656-RC,8,0,8,6
FSP-V4,7568,NickHotalling-FSP,"Discovery Flights - Ensure location is set when auto-saving",2025-04-28T20:21:09Z,2025-04-28T20:38:18Z,FE-651-652-RC-3,7,1,8,1
FSP-V4,7567,timsquires,"Combine FE-652 and FE-651",2025-04-28T18:48:46Z,2025-04-28T18:57:24Z,FE-651-652-RC-3,6433,7,6440,105
FSP-V4,7561,joshvahl-fsp,"Self service payment links",2025-04-28T15:23:43Z,2025-04-29T20:41:34Z,FE-655-RC-2,2702,1296,3998,43
FSP-V4,7555,NickHotalling-FSP,"Discovery Flight - change state input to dropdown, data-cy",2025-04-25T21:33:37Z,2025-04-28T14:53:41Z,FE-652-RC-4,134,11,145,8
FSP-V4,7554,NickHotalling-FSP,"Fix: Do not load QBO users if accountingSync not enabled",2025-04-25T20:52:27Z,2025-04-25T21:05:44Z,FE-652-RC-4,32,19,51,2
FSP-V4,7553,amatasek,"FSP-11356 Discovery Flight List",2025-04-25T18:58:45Z,2025-04-25T20:35:24Z,FE-652-RC-4,598,8,606,12
FSP-V4,7547,NickHotalling-FSP,"FSP-11355 Discovery flight Payrix form revisions",2025-04-24T21:30:49Z,2025-04-25T17:03:48Z,FE-652-RC-4,1545,588,2133,22
FSP-V4,7546,timsquires,"FSP-11377 only show customization row for aviator pro",2025-04-24T21:06:12Z,2025-04-25T14:09:51Z,FE-650-RC-1,46,40,86,2
FSP-V4,7538,amatasek,"Send proper env header",2025-04-24T20:19:53Z,2025-04-24T20:29:10Z,FE-652-RC-4,1,1,2,1
FSP-V4,7537,timsquires,"FSP-11366 Fix my apps modal defect",2025-04-24T17:49:08Z,2025-04-24T18:37:35Z,FE-650-RC-1,17,28,45,2
FSP-V4,7528,timsquires,"FSP-11059 use location offset instead of company's for civil twilight",2025-04-23T19:04:50Z,2025-04-24T14:28:15Z,FE-651-RC,47,30,77,2
FSP-V4,7527,amatasek,"[FSP-11280] Discovery Flight Preferences",2025-04-23T18:59:41Z,2025-04-24T19:50:37Z,FE-652-RC-4,886,17,903,25
FSP-V4,7520,timsquires,"FSP-11275 AP company customization link",2025-04-23T14:50:24Z,2025-04-23T16:34:16Z,FE-650-RC-1,125,18,143,10
FSP-V4,7507,tylermeininger-fsp,"FSP-11353 Map date from UTC to company time zone",2025-04-22T20:52:14Z,2025-04-28T14:21:09Z,FE-654-RC,41,22,63,1
FSP-V4,7505,tylermeininger-fsp,"FSP-9868 Res training bugfix",2025-04-22T17:59:28Z,2025-04-23T18:17:50Z,FE-651-RC,17,5,22,1
FSP-V4,7504,timsquires,"FSP-11346 move aviator pro config to base context",2025-04-22T16:03:27Z,2025-04-22T17:00:14Z,FE-650-RC-1,7,5,12,5
FSP-V4,7498,tylermeininger-fsp,"FSP-11343 Data-cy and unit test model changes",2025-04-21T16:48:33Z,2025-04-21T17:02:06Z,FE-648-RC-3,16,3,19,5
FSP-V4,7497,tylermeininger-fsp,"FSP-11342 Data-cy update",2025-04-21T15:46:21Z,2025-04-21T15:47:37Z,FE-648-RC-3,1,0,1,1
FSP-V4,7494,timsquires,"FSP-11273 add null check for course",2025-04-17T20:59:25Z,2025-04-17T21:00:48Z,FE-646-RC-1,6,2,8,1
FSP-V4,7493,joshvahl-fsp,"FSP-11284 updates student financing terms and conditions document",2025-04-17T19:29:18Z,2025-04-21T14:40:15Z,FE-649-RC-4,7,5,12,4
FSP-V4,7492,joshvahl-fsp,"FSP-11139 auto billing tab changes",2025-04-17T19:02:09Z,2025-04-22T16:16:36Z,FE-647-RC-2,11,12,23,4
FSP-V4,7491,timsquires,"FSP-11254 aviator pro link fixes",2025-04-17T18:56:23Z,2025-04-21T14:34:12Z,FE-650-RC-1,383,290,673,24
FSP-V4,7490,amatasek,"FSP-11296 - Discovery flights UI Migration",2025-04-17T17:31:39Z,2025-04-22T21:18:48Z,FE-652-RC-4,3877,3,3880,73
FSP-V4,7489,tylermeininger-fsp,"FSP-11250 Smart scheduling group updates",2025-04-17T16:40:19Z,2025-04-25T16:07:05Z,FE-654-RC,213,70,283,12
FSP-V4,7485,tylermeininger-fsp,"Fsp-10438 upgrade check in modal for mx reservations",2025-04-16T19:19:00Z,2025-04-18T17:07:42Z,FE-648-RC-3,2346,850,3196,47
FSP-V4,7484,tylermeininger-fsp,"FSP-11268 Remove smart schedule feedback mechanism",2025-04-16T18:42:13Z,2025-04-21T14:37:04Z,FE-648-RC-3,0,291,291,12
FSP-V4,7481,joshvahl-fsp,"FSP-11239 changes paymentDueAtUtc to autoBillingAtUtc",2025-04-14T14:23:17Z,2025-04-22T16:15:34Z,FE-647-RC-2,147,127,274,19
FSP-V4,7476,tylermeininger-fsp,"FSP-10998 Fix aircraft times modal not loading after aircraft class change",2025-04-10T15:39:05Z,2025-04-10T15:46:24Z,FE-645-RC-1,30,16,46,2
FSP-V4,7471,amatasek,"Bump run back 4 hours",2025-04-08T21:10:36Z,2025-04-08T21:35:03Z,master,1,1,2,1
FSP-V4,7470,timsquires,"FSP-11093 Fix multi student training not loading courses for student 2",2025-04-08T20:36:18Z,2025-04-14T14:21:05Z,FE-646-RC-1,42,33,75,2
FSP-V4,7457,joshvahl-fsp,"FSP-11220 fixes retry subscription logic, clears student loans after use",2025-04-04T20:51:27Z,2025-04-04T21:03:54Z,FE-644-RC-2,36,26,62,4
FSP-V4,7455,tylermeininger-fsp,"FE-641-RC-1 Merge conflict fix to master",2025-04-04T14:49:36Z,2025-04-04T14:51:33Z,master,624,180,804,25
